a 日
aa 昌
aaa 晶
aate 曝
ab 明
abac 暝
abbe 暧
abbt 盟
abjj 晕
abjj 晖
abme 暖
abu 冒
ad 杲
adhaf 鹇
adhl 晰
af 炅
afhhh 影
afmbc 显
afmbc 颢
afmu 晃
agdi 时
aggu 晓
ahbr 晌
ahbu 眉
ahgf 曛
ahhl 昴
ahln 剔
ahml 昕
ahqm 星
ahs 昨
ahvl 昂
ahyr 晷
aihs 晟
aijb 晡
aimlu 既
aisl 即
aitc 旷
aj 早
ajd 昧
ajka 暑
ajmm 暄
ajv 晏
akn 旯
albk 映
almo 晁
am 旦
ambi 昙
amcw 晒
amg 旺
ami 戥
amj 旱
amk 昊
ammr 晤
ammv 晨
amo 昃
amwg 量
amyo 是
an 门
ana 间
anaa 阊
anau 冕
anau 晚
anb 闲
anbbe 阌
anbuk 阒
ancru 阅
andh 闭
andmq 闱
andwf 阑
anehr 阔
angg 闺
angit 阖
anher 阁
anhpa 阍
aniav 阆
anirm 阈
anjbc 阗
anki 闳
anklu 阉
anlmi 闽
anm 闩
anmg 闰
anmjk 阚
anmmm 闫
anmt 开
annhx 阎
annok 阕
ano 闪
anoi 阀
anok 暌
anp 闷
anr 问
anrhr 闾
anrrj 阐
ansj 闻
ansqf 闯
antuo 阙
anvit 关
anwd 阃
anwl 闸
anygq 闼
anyhn 闶
anyk 闵
anysy 阏
anyvo 阂
aodmq 韪
aoir 晗
aombc 题
aop 匙
aowy 晦
aphh 易
apim 昀
app 昆
apvo 曷
aqmb 晴
arf 照
arf 煦
arye 暇
ashr 昭
asje 最
asmg 曜
asp 昵
atce 暴
atgs 曦
atmj 晔
au 巴
auam 暨
auks 勖
aupsm 鹛
av 艮
avno 歇
awla 曙
awle 曼
aydk 暾
ayrf 景
ayrf 晾
ayrv 曩
ayt 昱
ayta 暗
b 月
bahm 腥
bamh 肠
bau 肥
bayc 冥
bb 朋
bbb 骨
bbbr 脶
bbe 受
bbhaf 鹘
bbher 骼
bbhf 鹏
bbhhj 髀
bbhmr 骺
bbhne 骰
bbhpm 骶
bbjhr 髂
bbjmc 髌
bbjr 骷
bbjti 髋
bbln 剐
bblwv 髅
bbmr 胴
bbnd 脬
bbnq 舜
bboll 骱
bbpe 爱
bbr 呙
bbtmt 脏
bbu 乱
bbuu 觅
bbwd 髁
bbwli 髑
bbykb 髓
bbytj 辞
bbyvo 骸
bcaph 赐
bccwa 赠
bcdh 财
bcff 赕
bcgwc 赎
bche 贩
bcher 赂
bchio 贬
bcibi 赙
bcii 贱
bcij 贼
bcije 赇
bcims 赃
bcir 贻
bcjka 赌
bcjmn 贮
bckb 贿
bclmt 赆
bcln 则
bcmj 罕
bcmmv 赈
bcmpm 赋
bcncr 赡
bcoju 罂
bcok 败
bcomf 赊
bcrhu 贶
bcrl 脚
bcru 脱
bcsmv 账
bcttb 购
bctxc 赚
bcv 婴
bcyr 贴
bcytr 赔
bcyvo 赅
bd 采
bdhhh 彩
bdi 肘
bdnl 郛
bdoe 膝
bdu 乳
bf 炙
bfbg 膛
bfd 脒
bfdq 膦
bfhvf 县
bfmu 胱
bfp 悬
bfq 胖
bfqe 滕
bfqf 腾
bfqg 塍
bfqr 誊
bfqs 胜
bfqv 媵
bg 肚
bghqu 氍
bgr 周
bgte 臌
bgth 膨
bhae 腺
bhdh 豺
bher 胳
bhhau 貌
bhher 貉
bhhh 肜
bhhj 脾
bhhv 脉
bhhwp 貔
bhjg 肿
bhma 貊
bhn 肌
bhn 冗
bhne 股
bhod 貅
bhpi 豹
bhpm 胝
bhs 胙
bhshr 貂
bhtak 貘
